                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.2757,                   1.31,                 1.8846,                0.85552,                0.67498,                0.77173,                0.45333,                 1.3979,                 1.2691,                 1.9536,              0.0008416,              0.0008416,              0.0008416
                     51,                 1.2721,                 1.2996,                 1.8884,                0.83055,                0.72021,                0.78674,                0.49259,                 1.2898,                 1.1879,                 1.9089,              0.0008383,              0.0008383,              0.0008383
                     52,                 1.2645,                 1.2601,                 1.8615,                0.82916,                0.75444,                0.78719,                0.49224,                 1.2737,                 1.1282,                 1.8831,               0.000835,               0.000835,               0.000835
                     53,                 1.2339,                 1.2689,                 1.8413,                0.80588,                0.70982,                0.76652,                 0.4867,                 1.3095,                 1.2829,                 1.9122,              0.0008317,              0.0008317,              0.0008317
                     54,                 1.2534,                 1.2753,                 1.8495,                0.81842,                0.72398,                0.77235,                0.47156,                 1.4027,                 1.1868,                 1.9858,              0.0008284,              0.0008284,              0.0008284
                     55,                 1.2403,                  1.247,                 1.8465,                0.83165,                0.66839,                0.74573,                0.43564,                 1.3803,                 1.3941,                 1.9811,              0.0008251,              0.0008251,              0.0008251
                     56,                  1.256,                 1.3206,                 1.8688,                0.79342,                 0.7164,                0.74459,                0.41999,                  1.464,                 1.3393,                 2.0359,              0.0008218,              0.0008218,              0.0008218
                     57,                 1.2178,                 1.2701,                 1.8307,                0.83692,                0.67876,                0.74974,                0.47304,                 1.3464,                 1.2114,                 1.9405,              0.0008185,              0.0008185,              0.0008185
                     58,                 1.2381,                 1.2519,                 1.8478,                0.80432,                0.68153,                0.75655,                0.42052,                 1.4095,                 1.3654,                  1.998,              0.0008152,              0.0008152,              0.0008152
                     59,                 1.2421,                 1.2686,                 1.8553,                0.76022,                0.67352,                0.75057,                0.44256,                 1.3808,                 1.3548,                 1.9563,              0.0008119,              0.0008119,              0.0008119
                     60,                 1.2543,                   1.27,                 1.8581,                0.84387,                0.69948,                0.77645,                0.48732,                 1.2867,                 1.2994,                 1.8858,              0.0008086,              0.0008086,              0.0008086
                     61,                 1.2444,                 1.2936,                 1.8368,                0.72485,                0.64153,                0.70135,                0.39532,                 1.4437,                 1.6813,                 1.9896,              0.0008053,              0.0008053,              0.0008053
                     62,                 1.2259,                 1.2497,                  1.828,                0.89355,                0.73936,                0.81972,                0.49917,                 1.3322,                 1.0895,                 1.9071,               0.000802,               0.000802,               0.000802
                     63,                 1.2204,                 1.2552,                 1.8307,                0.86898,                0.72165,                0.79015,                0.48099,                 1.3045,                 1.0783,                 1.9052,              0.0007987,              0.0007987,              0.0007987
                     64,                 1.2329,                 1.2391,                 1.8326,                0.84007,                0.73482,                0.79502,                0.48298,                 1.3916,                 1.1868,                 1.9708,              0.0007954,              0.0007954,              0.0007954
                     65,                 1.2105,                 1.1987,                 1.8122,                0.75271,                0.70972,                0.72031,                 0.4399,                 1.4401,                 1.2845,                 1.9761,              0.0007921,              0.0007921,              0.0007921
                     66,                 1.2393,                 1.2455,                 1.8421,                0.85294,                0.72021,                0.79794,                 0.4902,                 1.3458,                  1.093,                 1.9477,              0.0007888,              0.0007888,              0.0007888
                     67,                 1.2248,                 1.2654,                 1.8226,                0.88442,                0.75335,                0.81913,                0.51059,                 1.2615,                  1.077,                 1.8873,              0.0007855,              0.0007855,              0.0007855
                     68,                 1.2036,                 1.2197,                 1.7999,                0.81782,                0.72539,                0.79111,                0.47996,                 1.3574,                 1.1585,                 1.9425,              0.0007822,              0.0007822,              0.0007822
                     69,                 1.2046,                 1.2107,                 1.7981,                0.75428,                0.69948,                0.73616,                0.43836,                 1.3934,                 1.3149,                 1.9633,              0.0007789,              0.0007789,              0.0007789
                     70,                  1.216,                 1.2264,                 1.8128,                0.86632,                0.73575,                0.79664,                0.50021,                 1.2721,                 1.1279,                 1.8299,              0.0007756,              0.0007756,              0.0007756
                     71,                 1.1906,                  1.198,                 1.8074,                 0.8812,                0.73024,                0.78825,                0.50088,                 1.2935,                 1.0641,                 1.9067,              0.0007723,              0.0007723,              0.0007723
                     72,                 1.1956,                  1.193,                 1.8079,                0.87284,                0.74688,                0.80582,                0.49883,                 1.3143,                 1.0772,                 1.9221,               0.000769,               0.000769,               0.000769
                     73,                 1.2218,                 1.2291,                 1.8056,                0.81441,                0.76684,                0.80087,                0.50382,                  1.343,                 1.0898,                 1.9203,              0.0007657,              0.0007657,              0.0007657
                     74,                 1.2069,                 1.1639,                 1.7964,                0.82328,                0.67588,                0.77098,                0.44542,                 1.4075,                 1.2489,                 1.9911,              0.0007624,              0.0007624,              0.0007624
                     75,                 1.1912,                   1.15,                 1.8011,                0.81355,                0.72021,                0.78876,                0.47921,                 1.3631,                 1.1723,                 1.9289,              0.0007591,              0.0007591,              0.0007591
                     76,                 1.2017,                 1.1901,                 1.7969,                0.79779,                0.67458,                 0.7628,                0.46694,                  1.298,                 1.3149,                 1.8904,              0.0007558,              0.0007558,              0.0007558
                     77,                 1.1792,                 1.1826,                 1.7854,                0.80002,                0.76684,                0.78657,                0.50311,                 1.2692,                 1.1432,                 1.8307,              0.0007525,              0.0007525,              0.0007525
                     78,                  1.197,                 1.1932,                 1.7941,                 0.8066,                0.73057,                0.78283,                0.49242,                 1.2759,                 1.1353,                 1.8532,              0.0007492,              0.0007492,              0.0007492
                     79,                 1.1984,                 1.1678,                 1.7981,                0.83782,                0.72021,                0.78104,                0.50266,                 1.2946,                 1.1427,                 1.8683,              0.0007459,              0.0007459,              0.0007459
                     80,                 1.1873,                 1.1723,                 1.7716,                0.82577,                0.76125,                0.80294,                0.51269,                 1.3052,                 1.0681,                 1.9122,              0.0007426,              0.0007426,              0.0007426
                     81,                 1.1823,                 1.1582,                 1.7855,                0.87286,                0.74701,                0.80077,                0.49687,                 1.3256,                 1.0086,                 1.8779,              0.0007393,              0.0007393,              0.0007393
                     82,                 1.1827,                 1.1884,                 1.7801,                0.78869,                0.69948,                0.77188,                0.49795,                 1.2718,                 1.2207,                 1.8424,               0.000736,               0.000736,               0.000736
                     83,                 1.1913,                 1.1798,                 1.7886,                0.82427,                0.76684,                0.82518,                  0.482,                 1.3948,                 1.0797,                 1.9927,              0.0007327,              0.0007327,              0.0007327
                     84,                  1.182,                 1.1779,                 1.7773,                 0.8601,                0.73268,                0.80467,                0.49114,                 1.3776,                 1.0962,                 1.9137,              0.0007294,              0.0007294,              0.0007294
                     85,                 1.1836,                 1.1714,                 1.7818,                0.79138,                0.68394,                0.77067,                0.47146,                 1.3802,                 1.1667,                 1.9374,              0.0007261,              0.0007261,              0.0007261
                     86,                 1.1756,                 1.1239,                 1.7642,                0.86956,                0.68912,                0.77542,                0.48268,                 1.3676,                 1.1223,                 1.9209,              0.0007228,              0.0007228,              0.0007228
                     87,                 1.1633,                 1.1368,                 1.7499,                0.81564,                0.71063,                0.78572,                 0.4901,                 1.2817,                 1.1102,                 1.8589,              0.0007195,              0.0007195,              0.0007195
